removal_fraction,lcc_size
0.0,1.0
0.041666666666666664,0.981
0.08333333333333333,0.917
0.125,0.91
0.16666666666666666,0.899
0.20833333333333331,0.855
0.25,0.786
0.29166666666666663,0.718
0.3333333333333333,0.649
0.375,0.58
0.41666666666666663,0.511
0.4583333333333333,0.451
0.5,0.417
0.5416666666666666,0.359
0.5833333333333333,0.341
0.625,0.334
0.6666666666666666,0.324
0.7083333333333333,0.305
0.75,0.281
0.7916666666666666,0.247
0.8333333333333333,0.195
0.875,0.131
0.9166666666666666,0.055
0.9583333333333333,0.01
1.0,0.001
