,name,nodes,edges,density,avg_degree,avg_clustering
0,Original EB,598,1019,0.0028542937653708903,3.408026755852843,0.12211166487171739
1,Clustering Config (unscaled),598,922,0.002582589648353249,3.0836120401337794,0.1217185902476179
2,Standard Config (unscaled),598,922,0.002582589648353249,3.0836120401337794,0.09073640499046373
0,Original EB,598,1019,0.0028542937653708903,3.408026755852843,0.12211166487171739
1,Clustering Config (scaled),1500,2079,0.0009246164109406271,2.772,0.12112101091055676
2,Standard Config (scaled),1500,2095,0.0009317322659550812,2.7933333333333334,0.044445811219714186
0,Original FB,1000,1659,0.0016606606606606607,3.318,0.10323617553716892
1,Clustering Config (unscaled),1000,1521,0.0015225225225225225,3.042,0.10235835326731926
2,Standard Config (unscaled),1000,1522,0.0015235235235235235,3.044,0.06359179017429151
0,Original FB,1000,1659,0.0016606606606606607,3.318,0.10323617553716892
1,Clustering Config (scaled),1500,1817,0.0008080942850789416,2.4226666666666667,0.10237508145669286
2,Standard Config (scaled),1500,1850,0.000822770736046253,2.466666666666667,0.033651581195480146
0,Original MB_KC,2500,3263,0.0005222889155662264,2.6104,0.03765766738324662
1,Clustering Config (unscaled),2500,3188,0.0005102841136454582,2.5504,0.03810256494210844
2,Standard Config (unscaled),2500,3188,0.0005102841136454582,2.5504,0.02817337880800167
0,Original MB_KC,2500,3263,0.0005222889155662264,2.6104,0.03765766738324662
1,Clustering Config (scaled),1500,1612,0.0007169223927062486,2.1493333333333333,0.013468124468124468
2,Standard Config (scaled),1500,1616,0.0007187013564598621,2.1546666666666665,0.0007454545454545455
