removal_fraction,mean_lcc_size,std_lcc_size,lcc_sizes,attack_type
0.0,1.0,0.0,[1.0],betweenness
0.05,0.9732441471571907,0.0,[0.9732441471571907],betweenness
0.1,0.931438127090301,0.0,[0.931438127090301],betweenness
0.15000000000000002,0.9247491638795987,0.0,[0.9247491638795987],betweenness
0.2,0.8561872909698997,0.0,[0.8561872909698997],betweenness
0.25,0.7709030100334449,0.0,[0.7709030100334449],betweenness
0.30000000000000004,0.697324414715719,0.0,[0.697324414715719],betweenness
0.35000000000000003,0.6120401337792643,0.0,[0.6120401337792643],betweenness
0.4,0.5267558528428093,0.0,[0.5267558528428093],betweenness
0.45,0.4431438127090301,0.0,[0.4431438127090301],betweenness
0.5,0.3879598662207358,0.0,[0.3879598662207358],betweenness
0.55,0.3695652173913043,0.0,[0.3695652173913043],betweenness
0.6000000000000001,0.34615384615384615,0.0,[0.34615384615384615],betweenness
0.65,0.3394648829431438,0.0,[0.3394648829431438],betweenness
0.7000000000000001,0.32608695652173914,0.0,[0.32608695652173914],betweenness
0.75,0.28762541806020064,0.0,[0.28762541806020064],betweenness
0.8,0.25418060200668896,0.0,[0.25418060200668896],betweenness
0.8500000000000001,0.19230769230769232,0.0,[0.19230769230769232],betweenness
0.9,0.056856187290969896,0.0,[0.056856187290969896],betweenness
0.9500000000000001,0.011705685618729096,0.0,[0.011705685618729096],betweenness
1.0,0.0016722408026755853,0.0,[0.0016722408026755853],betweenness
