removal_fraction,mean_lcc_size,std_lcc_size,lcc_sizes,attack_type
0.0,0.8494285714285714,0.0,[0.8494285714285714],betweenness
0.05,0.816,0.0,[0.816],betweenness
0.1,0.7948571428571428,0.0,[0.7948571428571428],betweenness
0.15000000000000002,0.7845714285714286,0.0,[0.7845714285714286],betweenness
0.2,0.7671428571428571,0.0,[0.7671428571428571],betweenness
0.25,0.756,0.0,[0.756],betweenness
0.30000000000000004,0.6934285714285714,0.0,[0.6934285714285714],betweenness
0.35000000000000003,0.6194285714285714,0.0,[0.6194285714285714],betweenness
0.4,0.5491428571428572,0.0,[0.5491428571428572],betweenness
0.45,0.4848571428571429,0.0,[0.4848571428571429],betweenness
0.5,0.41942857142857143,0.0,[0.41942857142857143],betweenness
0.55,0.35514285714285715,0.0,[0.35514285714285715],betweenness
0.6000000000000001,0.2948571428571429,0.0,[0.2948571428571429],betweenness
0.65,0.268,0.0,[0.268],betweenness
0.7000000000000001,0.25857142857142856,0.0,[0.25857142857142856],betweenness
0.75,0.2377142857142857,0.0,[0.2377142857142857],betweenness
0.8,0.19714285714285715,0.0,[0.19714285714285715],betweenness
0.8500000000000001,0.138,0.0,[0.138],betweenness
0.9,0.049428571428571426,0.0,[0.049428571428571426],betweenness
0.9500000000000001,0.002285714285714286,0.0,[0.002285714285714286],betweenness
1.0,0.00028571428571428574,0.0,[0.00028571428571428574],betweenness
