removal_fraction,mean_lcc_size,std_lcc_size,lcc_sizes,attack_type
0.0,0.8494285714285714,0.0,[0.8494285714285714],degree
0.05,0.8225714285714286,0.0,[0.8225714285714286],degree
0.1,0.7845714285714286,0.0,[0.7845714285714286],degree
0.15000000000000002,0.7517142857142857,0.0,[0.7517142857142857],degree
0.2,0.724,0.0,[0.724],degree
0.25,0.6925714285714286,0.0,[0.6925714285714286],degree
0.30000000000000004,0.6628571428571428,0.0,[0.6628571428571428],degree
0.35000000000000003,0.6345714285714286,0.0,[0.6345714285714286],degree
0.4,0.5971428571428572,0.0,[0.5971428571428572],degree
0.45,0.5568571428571428,0.0,[0.5568571428571428],degree
0.5,0.5191428571428571,0.0,[0.5191428571428571],degree
0.55,0.48,0.0,[0.48],degree
0.6000000000000001,0.4402857142857143,0.0,[0.4402857142857143],degree
0.65,0.39,0.0,[0.39],degree
0.7000000000000001,0.33514285714285713,0.0,[0.33514285714285713],degree
0.75,0.24057142857142857,0.0,[0.24057142857142857],degree
0.8,0.09028571428571429,0.0,[0.09028571428571429],degree
0.8500000000000001,0.008571428571428572,0.0,[0.008571428571428572],degree
0.9,0.003142857142857143,0.0,[0.003142857142857143],degree
0.9500000000000001,0.0014285714285714286,0.0,[0.0014285714285714286],degree
1.0,0.00028571428571428574,0.0,[0.00028571428571428574],degree
