removal_probability,mean_lcc_size,std_lcc_size,lcc_sizes
0.0,0.8494285714285714,0.0,"[0.8494285714285714, 0.8494285714285714, 0.8494285714285714, 0.8494285714285714, 0.8494285714285714, 0.8494285714285714, 0.8494285714285714, 0.8494285714285714, 0.8494285714285714, 0.8494285714285714, 0.8494285714285714, 0.8494285714285714, 0.8494285714285714, 0.8494285714285714, 0.8494285714285714, 0.8494285714285714, 0.8494285714285714, 0.8494285714285714, 0.8494285714285714, 0.8494285714285714]"
0.05,0.8203142857142858,0.00349097962977587,"[0.824, 0.824, 0.8197142857142857, 0.8228571428571428, 0.822, 0.8202857142857143, 0.8151428571428572, 0.818, 0.8211428571428572, 0.8231428571428572, 0.8171428571428572, 0.8214285714285714, 0.8228571428571428, 0.8165714285714286, 0.8185714285714286, 0.8182857142857143, 0.824, 0.8105714285714286, 0.8225714285714286, 0.824]"
0.1,0.7892999999999999,0.004546786261319363,"[0.79, 0.794, 0.7917142857142857, 0.7888571428571428, 0.7817142857142857, 0.784, 0.792, 0.78, 0.7945714285714286, 0.7914285714285715, 0.7822857142857143, 0.794, 0.7917142857142857, 0.7911428571428571, 0.7908571428571428, 0.786, 0.7934285714285715, 0.7951428571428572, 0.784, 0.7891428571428571]"
0.15000000000000002,0.7568428571428572,0.00496228633940905,"[0.7628571428571429, 0.766, 0.754, 0.7597142857142857, 0.7542857142857143, 0.7468571428571429, 0.7634285714285715, 0.7597142857142857, 0.7511428571428571, 0.7588571428571429, 0.7562857142857143, 0.7637142857142857, 0.7488571428571429, 0.756, 0.754, 0.7528571428571429, 0.7614285714285715, 0.756, 0.7554285714285714, 0.7554285714285714]"
0.2,0.7278,0.005976894286008611,"[0.7271428571428571, 0.7211428571428572, 0.7202857142857143, 0.7194285714285714, 0.7254285714285714, 0.7234285714285714, 0.7311428571428571, 0.7251428571428571, 0.7254285714285714, 0.7294285714285714, 0.7254285714285714, 0.7334285714285714, 0.722, 0.7385714285714285, 0.7368571428571429, 0.7425714285714285, 0.7288571428571429, 0.7271428571428571, 0.7268571428571429, 0.7262857142857143]"
0.25,0.6952285714285715,0.006107940632939241,"[0.694, 0.6871428571428572, 0.6857142857142857, 0.6914285714285714, 0.7057142857142857, 0.698, 0.7022857142857143, 0.6922857142857143, 0.6968571428571428, 0.696, 0.69, 0.692, 0.6888571428571428, 0.69, 0.7054285714285714, 0.7028571428571428, 0.6937142857142857, 0.6931428571428572, 0.706, 0.6931428571428572]"
0.30000000000000004,0.6624000000000001,0.006840097863006806,"[0.6502857142857142, 0.6451428571428571, 0.6708571428571428, 0.6648571428571428, 0.6694285714285715, 0.6671428571428571, 0.6625714285714286, 0.6682857142857143, 0.6611428571428571, 0.652, 0.6625714285714286, 0.66, 0.6617142857142857, 0.66, 0.668, 0.6697142857142857, 0.6637142857142857, 0.6642857142857143, 0.67, 0.6562857142857143]"
0.35000000000000003,0.6246142857142856,0.007739258520619385,"[0.6188571428571429, 0.616, 0.6297142857142857, 0.6351428571428571, 0.6257142857142857, 0.6242857142857143, 0.6254285714285714, 0.6205714285714286, 0.6394285714285715, 0.6282857142857143, 0.622, 0.6111428571428571, 0.6414285714285715, 0.6237142857142857, 0.6214285714285714, 0.6231428571428571, 0.612, 0.6194285714285714, 0.6302857142857143, 0.6242857142857143]"
0.4,0.5847857142857144,0.0063147866640326745,"[0.576, 0.5848571428571429, 0.5862857142857143, 0.58, 0.5862857142857143, 0.5788571428571428, 0.5771428571428572, 0.5894285714285714, 0.5868571428571429, 0.5768571428571428, 0.5948571428571429, 0.5954285714285714, 0.5931428571428572, 0.59, 0.5737142857142857, 0.588, 0.5825714285714285, 0.5828571428571429, 0.5914285714285714, 0.5811428571428572]"
0.45,0.5509428571428572,0.007396689827765081,"[0.556, 0.5605714285714286, 0.5417142857142857, 0.5362857142857143, 0.5505714285714286, 0.5588571428571428, 0.5442857142857143, 0.5491428571428572, 0.5534285714285714, 0.5557142857142857, 0.5451428571428572, 0.5477142857142857, 0.5385714285714286, 0.5477142857142857, 0.5631428571428572, 0.5537142857142857, 0.5451428571428572, 0.554, 0.5611428571428572, 0.556]"
0.5,0.5086857142857143,0.006536178750084872,"[0.5022857142857143, 0.5062857142857143, 0.5002857142857143, 0.5071428571428571, 0.5222857142857142, 0.5094285714285715, 0.5137142857142857, 0.5194285714285715, 0.5151428571428571, 0.5154285714285715, 0.5142857142857142, 0.504, 0.5111428571428571, 0.5091428571428571, 0.5088571428571429, 0.5008571428571429, 0.5034285714285714, 0.5082857142857143, 0.5065714285714286, 0.4957142857142857]"
0.55,0.46494285714285705,0.006345880875153004,"[0.4551428571428571, 0.4657142857142857, 0.45714285714285713, 0.4677142857142857, 0.4717142857142857, 0.46314285714285713, 0.46514285714285714, 0.4542857142857143, 0.4685714285714286, 0.4605714285714286, 0.46485714285714286, 0.468, 0.4697142857142857, 0.46, 0.4685714285714286, 0.45771428571428574, 0.4742857142857143, 0.46085714285714285, 0.4797142857142857, 0.466]"
0.6000000000000001,0.42601428571428573,0.008081965309583192,"[0.43714285714285717, 0.4197142857142857, 0.40885714285714286, 0.42542857142857143, 0.4277142857142857, 0.436, 0.4237142857142857, 0.41314285714285715, 0.43885714285714283, 0.43, 0.4362857142857143, 0.4277142857142857, 0.424, 0.41628571428571426, 0.42, 0.4357142857142857, 0.422, 0.42942857142857144, 0.4208571428571429, 0.42742857142857144]"
0.65,0.3796428571428571,0.006380374885025909,"[0.3742857142857143, 0.3871428571428571, 0.38885714285714285, 0.38285714285714284, 0.38, 0.3871428571428571, 0.38142857142857145, 0.378, 0.374, 0.37457142857142856, 0.38571428571428573, 0.37, 0.3822857142857143, 0.3831428571428571, 0.3831428571428571, 0.38342857142857145, 0.3757142857142857, 0.362, 0.382, 0.37714285714285717]"
0.7000000000000001,0.33168571428571425,0.009186014214165854,"[0.33171428571428574, 0.34085714285714286, 0.33685714285714285, 0.3354285714285714, 0.32285714285714284, 0.3394285714285714, 0.3282857142857143, 0.3342857142857143, 0.3171428571428571, 0.3242857142857143, 0.332, 0.33714285714285713, 0.3222857142857143, 0.3394285714285714, 0.3397142857142857, 0.348, 0.3202857142857143, 0.34485714285714286, 0.3231428571428571, 0.3157142857142857]"
0.75,0.2777857142857143,0.00771051495143655,"[0.28, 0.2757142857142857, 0.27914285714285714, 0.2785714285714286, 0.2885714285714286, 0.26485714285714285, 0.2722857142857143, 0.2734285714285714, 0.278, 0.2694285714285714, 0.276, 0.2968571428571429, 0.278, 0.26771428571428574, 0.2817142857142857, 0.2937142857142857, 0.27485714285714286, 0.2765714285714286, 0.2725714285714286, 0.2777142857142857]"
0.8,0.22534285714285715,0.007053787519293941,"[0.22657142857142856, 0.21914285714285714, 0.22542857142857142, 0.232, 0.22685714285714287, 0.23, 0.22057142857142858, 0.23142857142857143, 0.21914285714285714, 0.208, 0.23314285714285715, 0.232, 0.22514285714285714, 0.2102857142857143, 0.226, 0.22714285714285715, 0.22228571428571428, 0.2257142857142857, 0.23657142857142857, 0.22942857142857143]"
0.8500000000000001,0.15788571428571427,0.006206250963376209,"[0.16428571428571428, 0.15057142857142858, 0.16657142857142856, 0.15257142857142858, 0.15171428571428572, 0.15485714285714286, 0.16542857142857142, 0.1657142857142857, 0.16171428571428573, 0.15542857142857142, 0.1637142857142857, 0.16057142857142856, 0.15428571428571428, 0.14742857142857144, 0.16257142857142856, 0.14742857142857144, 0.16257142857142856, 0.15714285714285714, 0.15085714285714286, 0.16228571428571428]"
0.9,0.08475714285714286,0.01224720709519738,"[0.09028571428571429, 0.10057142857142858, 0.09171428571428572, 0.08114285714285714, 0.08714285714285715, 0.07714285714285714, 0.08742857142857142, 0.06857142857142857, 0.09971428571428571, 0.05657142857142857, 0.09085714285714286, 0.07114285714285715, 0.08685714285714285, 0.09257142857142857, 0.09057142857142857, 0.06085714285714286, 0.076, 0.09457142857142857, 0.09628571428571428, 0.09514285714285714]"
