removal_probability,lcc_size,mean_lcc_size
0.0,0.7433333333333333,0.7433333333333333
0.01,0.7433333333333333,0.7433333333333333
0.02,0.7433333333333333,0.7433333333333333
0.03,0.7433333333333333,0.7433333333333333
0.04,0.7433333333333333,0.7433333333333333
0.05,0.7393333333333333,0.7393333333333333
0.06,0.7393333333333333,0.7393333333333333
0.07,0.7273333333333334,0.7273333333333334
0.08,0.7273333333333334,0.7273333333333334
0.09,0.7273333333333334,0.7273333333333334
0.1,0.7273333333333334,0.7273333333333334
0.11,0.7226666666666667,0.7226666666666667
0.12,0.7186666666666667,0.7186666666666667
0.13,0.7153333333333334,0.7153333333333334
0.14,0.7046666666666667,0.7046666666666667
0.15,0.6926666666666667,0.6926666666666667
0.16,0.6806666666666666,0.6806666666666666
0.17,0.6686666666666666,0.6686666666666666
0.18,0.6566666666666666,0.6566666666666666
0.19,0.6446666666666667,0.6446666666666667
0.2,0.6406666666666667,0.6406666666666667
0.21,0.64,0.64
0.22,0.636,0.636
0.23,0.634,0.634
0.24,0.6313333333333333,0.6313333333333333
0.25,0.6286666666666667,0.6286666666666667
0.26,0.626,0.626
0.27,0.6133333333333333,0.6133333333333333
0.28,0.6013333333333334,0.6013333333333334
0.29,0.5953333333333334,0.5953333333333334
0.3,0.5953333333333334,0.5953333333333334
0.31,0.5913333333333334,0.5913333333333334
0.32,0.5873333333333334,0.5873333333333334
0.33,0.5773333333333334,0.5773333333333334
0.34,0.5646666666666667,0.5646666666666667
0.35000000000000003,0.562,0.562
0.36,0.56,0.56
0.37,0.56,0.56
0.38,0.5513333333333333,0.5513333333333333
0.39,0.542,0.542
0.4,0.5386666666666666,0.5386666666666666
0.41000000000000003,0.5293333333333333,0.5293333333333333
0.42,0.522,0.522
0.43,0.5146666666666667,0.5146666666666667
0.44,0.506,0.506
0.45,0.5,0.5
0.46,0.49266666666666664,0.49266666666666664
0.47000000000000003,0.478,0.478
0.48,0.462,0.462
0.49,0.4533333333333333,0.4533333333333333
0.5,0.45,0.45
0.51,0.44133333333333336,0.44133333333333336
0.52,0.438,0.438
0.53,0.428,0.428
0.54,0.4093333333333333,0.4093333333333333
0.55,0.4066666666666667,0.4066666666666667
0.56,0.4,0.4
0.5700000000000001,0.386,0.386
0.58,0.36933333333333335,0.36933333333333335
0.59,0.34,0.34
0.6,0.308,0.308
0.61,0.28933333333333333,0.28933333333333333
0.62,0.26266666666666666,0.26266666666666666
0.63,0.24133333333333334,0.24133333333333334
0.64,0.23333333333333334,0.23333333333333334
0.65,0.17266666666666666,0.17266666666666666
0.66,0.16066666666666668,0.16066666666666668
0.67,0.13666666666666666,0.13666666666666666
0.68,0.08933333333333333,0.08933333333333333
0.6900000000000001,0.074,0.074
0.7000000000000001,0.07133333333333333,0.07133333333333333
0.71,0.07066666666666667,0.07066666666666667
0.72,0.068,0.068
0.73,0.05733333333333333,0.05733333333333333
0.74,0.05466666666666667,0.05466666666666667
0.75,0.023333333333333334,0.023333333333333334
0.76,0.014666666666666666,0.014666666666666666
0.77,0.011333333333333334,0.011333333333333334
0.78,0.011333333333333334,0.011333333333333334
0.79,0.01,0.01
0.8,0.01,0.01
0.81,0.01,0.01
0.8200000000000001,0.008,0.008
0.8300000000000001,0.008,0.008
0.84,0.008,0.008
0.85,0.008,0.008
0.86,0.008,0.008
0.87,0.008,0.008
0.88,0.008,0.008
0.89,0.008,0.008
0.9,0.008,0.008
0.91,0.008,0.008
0.92,0.008,0.008
0.93,0.008,0.008
0.9400000000000001,0.008,0.008
0.9500000000000001,0.008,0.008
0.96,0.008,0.008
0.97,0.006,0.006
0.98,0.0026666666666666666,0.0026666666666666666
0.99,0.0013333333333333333,0.0013333333333333333
1.0,0.0006666666666666666,0.0006666666666666666
