removal_probability,lcc_size,mean_lcc_size
0.0,0.7433333333333333,0.7433333333333333
0.01,0.7433333333333333,0.7433333333333333
0.02,0.7433333333333333,0.7433333333333333
0.03,0.7433333333333333,0.7433333333333333
0.04,0.7433333333333333,0.7433333333333333
0.05,0.7433333333333333,0.7433333333333333
0.06,0.7433333333333333,0.7433333333333333
0.07,0.7433333333333333,0.7433333333333333
0.08,0.7433333333333333,0.7433333333333333
0.09,0.7413333333333333,0.7413333333333333
0.1,0.7393333333333333,0.7393333333333333
0.11,0.7393333333333333,0.7393333333333333
0.12,0.7326666666666667,0.7326666666666667
0.13,0.7286666666666667,0.7286666666666667
0.14,0.64,0.64
0.15,0.64,0.64
0.16,0.64,0.64
0.17,0.64,0.64
0.18,0.64,0.64
0.19,0.64,0.64
0.2,0.64,0.64
0.21,0.64,0.64
0.22,0.64,0.64
0.23,0.64,0.64
0.24,0.64,0.64
0.25,0.6346666666666667,0.6346666666666667
0.26,0.6286666666666667,0.6286666666666667
0.27,0.5953333333333334,0.5953333333333334
0.28,0.5953333333333334,0.5953333333333334
0.29,0.5953333333333334,0.5953333333333334
0.3,0.5953333333333334,0.5953333333333334
0.31,0.5953333333333334,0.5953333333333334
0.32,0.5913333333333334,0.5913333333333334
0.33,0.5813333333333334,0.5813333333333334
0.34,0.562,0.562
0.35000000000000003,0.562,0.562
0.36,0.562,0.562
0.37,0.5593333333333333,0.5593333333333333
0.38,0.542,0.542
0.39,0.542,0.542
0.4,0.542,0.542
0.41000000000000003,0.5386666666666666,0.5386666666666666
0.42,0.528,0.528
0.43,0.5113333333333333,0.5113333333333333
0.44,0.5,0.5
0.45,0.5,0.5
0.46,0.49733333333333335,0.49733333333333335
0.47000000000000003,0.48733333333333334,0.48733333333333334
0.48,0.4826666666666667,0.4826666666666667
0.49,0.476,0.476
0.5,0.45,0.45
0.51,0.448,0.448
0.52,0.44666666666666666,0.44666666666666666
0.53,0.43866666666666665,0.43866666666666665
0.54,0.42866666666666664,0.42866666666666664
0.55,0.414,0.414
0.56,0.38866666666666666,0.38866666666666666
0.5700000000000001,0.38,0.38
0.58,0.38,0.38
0.59,0.354,0.354
0.6,0.32866666666666666,0.32866666666666666
0.61,0.29133333333333333,0.29133333333333333
0.62,0.268,0.268
0.63,0.12333333333333334,0.12333333333333334
0.64,0.09333333333333334,0.09333333333333334
0.65,0.088,0.088
0.66,0.084,0.084
0.67,0.056666666666666664,0.056666666666666664
0.68,0.048666666666666664,0.048666666666666664
0.6900000000000001,0.026,0.026
0.7000000000000001,0.023333333333333334,0.023333333333333334
0.71,0.023333333333333334,0.023333333333333334
0.72,0.021333333333333333,0.021333333333333333
0.73,0.021333333333333333,0.021333333333333333
0.74,0.02,0.02
0.75,0.012,0.012
0.76,0.010666666666666666,0.010666666666666666
0.77,0.008,0.008
0.78,0.006666666666666667,0.006666666666666667
0.79,0.006666666666666667,0.006666666666666667
0.8,0.005333333333333333,0.005333333333333333
0.81,0.005333333333333333,0.005333333333333333
0.8200000000000001,0.004666666666666667,0.004666666666666667
0.8300000000000001,0.004666666666666667,0.004666666666666667
0.84,0.004666666666666667,0.004666666666666667
0.85,0.0033333333333333335,0.0033333333333333335
0.86,0.0033333333333333335,0.0033333333333333335
0.87,0.0033333333333333335,0.0033333333333333335
0.88,0.0033333333333333335,0.0033333333333333335
0.89,0.0026666666666666666,0.0026666666666666666
0.9,0.0026666666666666666,0.0026666666666666666
0.91,0.0026666666666666666,0.0026666666666666666
0.92,0.0026666666666666666,0.0026666666666666666
0.93,0.0026666666666666666,0.0026666666666666666
0.9400000000000001,0.0026666666666666666,0.0026666666666666666
0.9500000000000001,0.002,0.002
0.96,0.002,0.002
0.97,0.002,0.002
0.98,0.002,0.002
0.99,0.0013333333333333333,0.0013333333333333333
1.0,0.0006666666666666666,0.0006666666666666666
