removal_fraction,mean_lcc_size,std_lcc_size,lcc_sizes,attack_type
0.0,1.0,0.0,[1.0],betweenness
0.05,0.981,0.0,[0.981],betweenness
0.1,0.914,0.0,[0.914],betweenness
0.15000000000000002,0.903,0.0,[0.903],betweenness
0.2,0.869,0.0,[0.869],betweenness
0.25,0.786,0.0,[0.786],betweenness
0.30000000000000004,0.704,0.0,[0.704],betweenness
0.35000000000000003,0.621,0.0,[0.621],betweenness
0.4,0.539,0.0,[0.539],betweenness
0.45,0.462,0.0,[0.462],betweenness
0.5,0.417,0.0,[0.417],betweenness
0.55,0.353,0.0,[0.353],betweenness
0.6000000000000001,0.339,0.0,[0.339],betweenness
0.65,0.329,0.0,[0.329],betweenness
0.7000000000000001,0.309,0.0,[0.309],betweenness
0.75,0.281,0.0,[0.281],betweenness
0.8,0.241,0.0,[0.241],betweenness
0.8500000000000001,0.171,0.0,[0.171],betweenness
0.9,0.083,0.0,[0.083],betweenness
0.9500000000000001,0.013,0.0,[0.013],betweenness
1.0,0.001,0.0,[0.001],betweenness
