removal_fraction,mean_lcc_size,std_lcc_size,lcc_sizes,attack_type
0.0,1.0,0.0,[1.0],degree
0.05,0.988,0.0,[0.988],degree
0.1,0.967,0.0,[0.967],degree
0.15000000000000002,0.91,0.0,[0.91],degree
0.2,0.848,0.0,[0.848],degree
0.25,0.781,0.0,[0.781],degree
0.30000000000000004,0.758,0.0,[0.758],degree
0.35000000000000003,0.717,0.0,[0.717],degree
0.4,0.667,0.0,[0.667],degree
0.45,0.635,0.0,[0.635],degree
0.5,0.583,0.0,[0.583],degree
0.55,0.545,0.0,[0.545],degree
0.6000000000000001,0.492,0.0,[0.492],degree
0.65,0.424,0.0,[0.424],degree
0.7000000000000001,0.363,0.0,[0.363],degree
0.75,0.141,0.0,[0.141],degree
0.8,0.038,0.0,[0.038],degree
0.8500000000000001,0.014,0.0,[0.014],degree
0.9,0.01,0.0,[0.01],degree
0.9500000000000001,0.005,0.0,[0.005],degree
1.0,0.001,0.0,[0.001],degree
