removal_probability,mean_lcc_size,std_lcc_size,lcc_sizes
0.0,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.05,0.9654999999999998,0.006078651166171659,"[0.963, 0.973, 0.968, 0.961, 0.97, 0.972, 0.963, 0.949, 0.973, 0.974, 0.964, 0.96, 0.96, 0.961, 0.971, 0.967, 0.961, 0.967, 0.962, 0.971]"
0.1,0.9317,0.008228608630868259,"[0.936, 0.934, 0.926, 0.929, 0.92, 0.935, 0.943, 0.923, 0.93, 0.95, 0.931, 0.928, 0.919, 0.932, 0.916, 0.936, 0.934, 0.941, 0.94, 0.931]"
0.15000000000000002,0.8893000000000001,0.007636098480245007,"[0.888, 0.891, 0.883, 0.876, 0.896, 0.879, 0.881, 0.882, 0.894, 0.888, 0.889, 0.889, 0.895, 0.883, 0.899, 0.901, 0.88, 0.899, 0.891, 0.902]"
0.2,0.8574999999999999,0.012889918541247663,"[0.837, 0.853, 0.84, 0.852, 0.873, 0.837, 0.851, 0.86, 0.869, 0.85, 0.858, 0.862, 0.856, 0.841, 0.865, 0.881, 0.867, 0.883, 0.859, 0.856]"
0.25,0.8173,0.013996785345214063,"[0.797, 0.808, 0.829, 0.819, 0.799, 0.829, 0.811, 0.834, 0.798, 0.832, 0.797, 0.819, 0.814, 0.813, 0.811, 0.819, 0.845, 0.808, 0.84, 0.824]"
0.30000000000000004,0.77515,0.01406156107976637,"[0.768, 0.802, 0.745, 0.782, 0.786, 0.783, 0.76, 0.781, 0.785, 0.791, 0.789, 0.771, 0.769, 0.771, 0.766, 0.767, 0.787, 0.747, 0.783, 0.77]"
0.35000000000000003,0.7342,0.01275382295627473,"[0.746, 0.742, 0.731, 0.71, 0.719, 0.726, 0.724, 0.739, 0.742, 0.76, 0.756, 0.733, 0.741, 0.736, 0.734, 0.713, 0.73, 0.748, 0.73, 0.724]"
0.4,0.68595,0.01940740837927617,"[0.726, 0.698, 0.687, 0.694, 0.698, 0.668, 0.709, 0.672, 0.655, 0.678, 0.678, 0.657, 0.694, 0.719, 0.696, 0.665, 0.702, 0.669, 0.667, 0.687]"
0.45,0.6465,0.015599679483886854,"[0.659, 0.616, 0.647, 0.649, 0.642, 0.647, 0.656, 0.643, 0.648, 0.641, 0.674, 0.638, 0.657, 0.644, 0.647, 0.643, 0.623, 0.644, 0.625, 0.687]"
0.5,0.5943,0.014744829602270759,"[0.59, 0.588, 0.582, 0.61, 0.577, 0.576, 0.593, 0.594, 0.583, 0.609, 0.599, 0.562, 0.605, 0.599, 0.59, 0.623, 0.607, 0.605, 0.58, 0.614]"
0.55,0.54235,0.012418836499447122,"[0.563, 0.557, 0.525, 0.545, 0.551, 0.529, 0.541, 0.545, 0.545, 0.516, 0.556, 0.533, 0.522, 0.541, 0.547, 0.535, 0.557, 0.538, 0.546, 0.555]"
0.6000000000000001,0.4941,0.016327584022138738,"[0.493, 0.487, 0.497, 0.495, 0.526, 0.492, 0.51, 0.505, 0.482, 0.511, 0.473, 0.489, 0.454, 0.483, 0.49, 0.48, 0.522, 0.495, 0.489, 0.509]"
0.65,0.44089999999999996,0.015927648916271363,"[0.434, 0.454, 0.409, 0.437, 0.446, 0.454, 0.454, 0.46, 0.426, 0.443, 0.437, 0.451, 0.446, 0.47, 0.429, 0.423, 0.467, 0.42, 0.431, 0.427]"
0.7000000000000001,0.3784,0.01491442255000174,"[0.384, 0.369, 0.36, 0.348, 0.365, 0.394, 0.385, 0.395, 0.356, 0.388, 0.378, 0.382, 0.379, 0.398, 0.367, 0.396, 0.371, 0.364, 0.387, 0.402]"
0.75,0.32104999999999995,0.017156558512708787,"[0.298, 0.33, 0.335, 0.327, 0.32, 0.323, 0.314, 0.33, 0.318, 0.34, 0.351, 0.331, 0.322, 0.343, 0.315, 0.289, 0.314, 0.334, 0.305, 0.282]"
0.8,0.25539999999999996,0.01765049574374612,"[0.253, 0.26, 0.256, 0.248, 0.238, 0.26, 0.259, 0.256, 0.292, 0.252, 0.225, 0.257, 0.232, 0.285, 0.268, 0.219, 0.273, 0.247, 0.271, 0.257]"
0.8500000000000001,0.1816,0.014561593319413917,"[0.165, 0.158, 0.193, 0.19, 0.174, 0.2, 0.149, 0.194, 0.171, 0.195, 0.179, 0.207, 0.187, 0.174, 0.183, 0.199, 0.183, 0.188, 0.174, 0.169]"
0.9,0.10369999999999999,0.016550226584551644,"[0.087, 0.08, 0.091, 0.117, 0.096, 0.128, 0.078, 0.111, 0.122, 0.09, 0.103, 0.119, 0.096, 0.118, 0.096, 0.11, 0.093, 0.082, 0.128, 0.129]"
0.9500000000000001,0.02815,0.00859811025749263,"[0.029, 0.02, 0.023, 0.023, 0.032, 0.019, 0.029, 0.048, 0.039, 0.02, 0.02, 0.017, 0.033, 0.036, 0.03, 0.043, 0.018, 0.026, 0.023, 0.035]"
1.0,0.0010000000000000002,2.168404344971009e-19,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]"
