removal_probability,lcc_size,mean_lcc_size
0.0,0.946,0.946
0.01,0.946,0.946
0.02,0.946,0.946
0.03,0.941,0.941
0.04,0.934,0.934
0.05,0.934,0.934
0.06,0.92,0.92
0.07,0.92,0.92
0.08,0.92,0.92
0.09,0.917,0.917
0.1,0.909,0.909
0.11,0.901,0.901
0.12,0.89,0.89
0.13,0.876,0.876
0.14,0.868,0.868
0.15,0.854,0.854
0.16,0.842,0.842
0.17,0.83,0.83
0.18,0.815,0.815
0.19,0.777,0.777
0.2,0.777,0.777
0.21,0.777,0.777
0.22,0.777,0.777
0.23,0.777,0.777
0.24,0.773,0.773
0.25,0.773,0.773
0.26,0.765,0.765
0.27,0.751,0.751
0.28,0.736,0.736
0.29,0.713,0.713
0.3,0.713,0.713
0.31,0.713,0.713
0.32,0.703,0.703
0.33,0.693,0.693
0.34,0.693,0.693
0.35000000000000003,0.681,0.681
0.36,0.661,0.661
0.37,0.661,0.661
0.38,0.656,0.656
0.39,0.654,0.654
0.4,0.645,0.645
0.41000000000000003,0.628,0.628
0.42,0.628,0.628
0.43,0.616,0.616
0.44,0.604,0.604
0.45,0.604,0.604
0.46,0.6,0.6
0.47000000000000003,0.598,0.598
0.48,0.582,0.582
0.49,0.566,0.566
0.5,0.552,0.552
0.51,0.552,0.552
0.52,0.544,0.544
0.53,0.516,0.516
0.54,0.516,0.516
0.55,0.514,0.514
0.56,0.504,0.504
0.5700000000000001,0.488,0.488
0.58,0.472,0.472
0.59,0.465,0.465
0.6,0.446,0.446
0.61,0.444,0.444
0.62,0.431,0.431
0.63,0.408,0.408
0.64,0.39,0.39
0.65,0.334,0.334
0.66,0.324,0.324
0.67,0.301,0.301
0.68,0.282,0.282
0.6900000000000001,0.258,0.258
0.7000000000000001,0.244,0.244
0.71,0.174,0.174
0.72,0.153,0.153
0.73,0.15,0.15
0.74,0.071,0.071
0.75,0.045,0.045
0.76,0.039,0.039
0.77,0.036,0.036
0.78,0.024,0.024
0.79,0.022,0.022
0.8,0.018,0.018
0.81,0.018,0.018
0.8200000000000001,0.014,0.014
0.8300000000000001,0.011,0.011
0.84,0.009,0.009
0.85,0.009,0.009
0.86,0.009,0.009
0.87,0.008,0.008
0.88,0.008,0.008
0.89,0.005,0.005
0.9,0.005,0.005
0.91,0.005,0.005
0.92,0.005,0.005
0.93,0.005,0.005
0.9400000000000001,0.005,0.005
0.9500000000000001,0.005,0.005
0.96,0.005,0.005
0.97,0.005,0.005
0.98,0.005,0.005
0.99,0.002,0.002
1.0,0.001,0.001
