removal_probability,lcc_size,mean_lcc_size
0.0,0.946,0.946
0.01,0.946,0.946
0.02,0.946,0.946
0.03,0.946,0.946
0.04,0.946,0.946
0.05,0.946,0.946
0.06,0.946,0.946
0.07,0.943,0.943
0.08,0.943,0.943
0.09,0.939,0.939
0.1,0.931,0.931
0.11,0.92,0.92
0.12,0.777,0.777
0.13,0.777,0.777
0.14,0.777,0.777
0.15,0.777,0.777
0.16,0.777,0.777
0.17,0.777,0.777
0.18,0.777,0.777
0.19,0.777,0.777
0.2,0.777,0.777
0.21,0.777,0.777
0.22,0.777,0.777
0.23,0.777,0.777
0.24,0.777,0.777
0.25,0.775,0.775
0.26,0.764,0.764
0.27,0.713,0.713
0.28,0.713,0.713
0.29,0.713,0.713
0.3,0.713,0.713
0.31,0.713,0.713
0.32,0.713,0.713
0.33,0.71,0.71
0.34,0.699,0.699
0.35000000000000003,0.661,0.661
0.36,0.661,0.661
0.37,0.661,0.661
0.38,0.661,0.661
0.39,0.657,0.657
0.4,0.628,0.628
0.41000000000000003,0.628,0.628
0.42,0.628,0.628
0.43,0.628,0.628
0.44,0.624,0.624
0.45,0.619,0.619
0.46,0.604,0.604
0.47000000000000003,0.598,0.598
0.48,0.582,0.582
0.49,0.582,0.582
0.5,0.564,0.564
0.51,0.564,0.564
0.52,0.561,0.561
0.53,0.538,0.538
0.54,0.535,0.535
0.55,0.514,0.514
0.56,0.503,0.503
0.5700000000000001,0.503,0.503
0.58,0.486,0.486
0.59,0.463,0.463
0.6,0.454,0.454
0.61,0.451,0.451
0.62,0.433,0.433
0.63,0.433,0.433
0.64,0.407,0.407
0.65,0.369,0.369
0.66,0.343,0.343
0.67,0.281,0.281
0.68,0.276,0.276
0.6900000000000001,0.242,0.242
0.7000000000000001,0.213,0.213
0.71,0.136,0.136
0.72,0.049,0.049
0.73,0.034,0.034
0.74,0.027,0.027
0.75,0.025,0.025
0.76,0.019,0.019
0.77,0.019,0.019
0.78,0.013,0.013
0.79,0.011,0.011
0.8,0.01,0.01
0.81,0.009,0.009
0.8200000000000001,0.008,0.008
0.8300000000000001,0.007,0.007
0.84,0.007,0.007
0.85,0.006,0.006
0.86,0.006,0.006
0.87,0.006,0.006
0.88,0.005,0.005
0.89,0.005,0.005
0.9,0.005,0.005
0.91,0.005,0.005
0.92,0.005,0.005
0.93,0.003,0.003
0.9400000000000001,0.003,0.003
0.9500000000000001,0.003,0.003
0.96,0.003,0.003
0.97,0.003,0.003
0.98,0.003,0.003
0.99,0.002,0.002
1.0,0.001,0.001
