removal_probability,mean_lcc_size,std_lcc_size
0.0,0.946,0.0
0.01,0.9403,0.0019519221295942965
0.02,0.9328999999999998,0.00301496268633627
0.03,0.9232000000000001,0.007520638270785272
0.04,0.9189,0.005223983154643595
0.05,0.9091999999999999,0.007068238818828922
0.06,0.9039000000000001,0.004867237409455188
0.07,0.891,0.007615773105863915
0.08,0.8905999999999998,0.007255342858886828
0.09,0.8772,0.006749814812274488
0.1,0.8774,0.007618398781896371
0.11,0.8645999999999999,0.009850888284819809
0.12,0.8593,0.007798076685952768
0.13,0.8535999999999999,0.007927168473042572
0.14,0.8382,0.009887365675446628
0.15,0.8423,0.004561797891182821
0.16,0.8276999999999999,0.013327040181525661
0.17,0.8231999999999999,0.009293008124391131
0.18,0.8230000000000001,0.008977750274985352
0.19,0.806,0.00794984276574068
0.2,0.8016,0.014575321608801624
0.21,0.7966,0.0067260686883201005
0.22,0.7803000000000001,0.0085562842402529
0.23,0.7779,0.008572630868059124
0.24,0.7729999999999999,0.012735776379946386
0.25,0.7583,0.009317188417113832
0.26,0.7597,0.012969579792730383
0.27,0.7474,0.012760877712759428
0.28,0.7394,0.011959933110180853
0.29,0.7237999999999999,0.010486181383134672
0.3,0.7224,0.01671645895517348
0.31,0.7098,0.013181805642627237
0.32,0.7056,0.01562177966814279
0.33,0.6931,0.008595929269136616
0.34,0.6862,0.01430244734302487
0.35000000000000003,0.6812,0.010998181667893988
0.36,0.667,0.015709869509324386
0.37,0.6654000000000001,0.015882065356873445
0.38,0.6592,0.010721940122944178
0.39,0.6434,0.012611106216347567
0.4,0.6447,0.016025292509030856
0.41000000000000003,0.6251,0.017020282018815096
0.42,0.6219000000000001,0.019351744107444183
0.43,0.6063,0.012402015965156643
0.44,0.6021,0.01941365498817777
0.45,0.5951,0.012469562943423489
0.46,0.5922,0.01664812301732542
0.47000000000000003,0.5681999999999999,0.01536098955145792
0.48,0.5611999999999999,0.015374004032782055
0.49,0.5664,0.00946784030283567
0.5,0.5452,0.011034491379306966
0.51,0.5324,0.006311893535223805
0.52,0.5217,0.008764131445842203
0.53,0.5194,0.020274121435958692
0.54,0.5194000000000001,0.009645724441430003
0.55,0.4997,0.012938701635017336
0.56,0.4957,0.018374166647769377
0.5700000000000001,0.4753,0.01352072483264118
0.58,0.47189999999999993,0.018069034285207383
0.59,0.4617,0.012767536959022278
0.6,0.4537999999999999,0.01558075736284986
0.61,0.44810000000000005,0.01850108104949546
0.62,0.4269,0.013486660075793425
0.63,0.4162,0.013489254983133787
0.64,0.4101,0.016483021567661668
0.65,0.3841,0.014855638660118256
0.66,0.38120000000000004,0.011338430226446702
0.67,0.36469999999999997,0.020469733754985668
0.68,0.3646,0.013373107342723307
0.6900000000000001,0.3464,0.014136477637657822
0.7000000000000001,0.3366,0.01659638514857979
0.71,0.33330000000000004,0.02053314393852047
0.72,0.3216,0.017200000000000003
0.73,0.2997,0.020204207482601245
0.74,0.29569999999999996,0.010517128885774862
0.75,0.2792,0.025658526847814153
0.76,0.2703,0.01260198397078809
0.77,0.25809999999999994,0.01594020075155893
0.78,0.24219999999999997,0.01567673435381234
0.79,0.2338,0.014483093592185334
0.8,0.22440000000000002,0.021611108254784166
0.81,0.2044,0.012611106216347557
0.8200000000000001,0.1984,0.015761979571107174
0.8300000000000001,0.182,0.02122734086031503
0.84,0.16760000000000003,0.007863841300534996
0.85,0.15560000000000002,0.015350570021989413
0.86,0.14140000000000003,0.021105449533236665
0.87,0.13030000000000003,0.01883640093011401
0.88,0.1136,0.01930388561922185
0.89,0.0868,0.024098962633275316
0.9,0.0839,0.023062740513651016
0.91,0.071,0.022059011763902753
0.92,0.0474,0.014492756811593852
0.93,0.0434,0.010011992808627062
0.9400000000000001,0.032100000000000004,0.014418391033676403
0.9500000000000001,0.020599999999999997,0.008101851640211637
0.96,0.0172,0.00530659966456864
0.97,0.015700000000000002,0.006165225056719341
0.98,0.0086,0.0033526109228480417
0.99,0.0045000000000000005,0.0009219544457292888
1.0,0.0010000000000000002,2.168404344971009e-19
