removal_fraction,mean_lcc_size,std_lcc_size,lcc_sizes,attack_type
0.0,0.8574285714285714,0.0,[0.8574285714285714],degree
0.05,0.8194285714285714,0.0,[0.8194285714285714],degree
0.1,0.8054285714285714,0.0,[0.8054285714285714],degree
0.15000000000000002,0.7734285714285715,0.0,[0.7734285714285715],degree
0.2,0.7297142857142858,0.0,[0.7297142857142858],degree
0.25,0.712,0.0,[0.712],degree
0.30000000000000004,0.6771428571428572,0.0,[0.6771428571428572],degree
0.35000000000000003,0.6417142857142857,0.0,[0.6417142857142857],degree
0.4,0.602,0.0,[0.602],degree
0.45,0.5685714285714286,0.0,[0.5685714285714286],degree
0.5,0.5354285714285715,0.0,[0.5354285714285715],degree
0.55,0.49714285714285716,0.0,[0.49714285714285716],degree
0.6000000000000001,0.448,0.0,[0.448],degree
0.65,0.39514285714285713,0.0,[0.39514285714285713],degree
0.7000000000000001,0.3251428571428571,0.0,[0.3251428571428571],degree
0.75,0.1802857142857143,0.0,[0.1802857142857143],degree
0.8,0.05457142857142857,0.0,[0.05457142857142857],degree
0.8500000000000001,0.011142857142857144,0.0,[0.011142857142857144],degree
0.9,0.003142857142857143,0.0,[0.003142857142857143],degree
0.9500000000000001,0.0014285714285714286,0.0,[0.0014285714285714286],degree
1.0,0.00028571428571428574,0.0,[0.00028571428571428574],degree
