removal_probability,mean_lcc_size,std_lcc_size,lcc_sizes
0.0,0.8574285714285713,1.1102230246251565e-16,"[0.8574285714285714, 0.8574285714285714, 0.8574285714285714, 0.8574285714285714, 0.8574285714285714, 0.8574285714285714, 0.8574285714285714, 0.8574285714285714, 0.8574285714285714, 0.8574285714285714, 0.8574285714285714, 0.8574285714285714, 0.8574285714285714, 0.8574285714285714, 0.8574285714285714, 0.8574285714285714, 0.8574285714285714, 0.8574285714285714, 0.8574285714285714, 0.8574285714285714]"
0.05,0.8287142857142857,0.0030871689692820482,"[0.8314285714285714, 0.826, 0.8311428571428572, 0.8271428571428572, 0.8251428571428572, 0.8314285714285714, 0.8277142857142857, 0.8291428571428572, 0.8277142857142857, 0.8337142857142857, 0.8194285714285714, 0.83, 0.832, 0.8317142857142857, 0.8291428571428572, 0.8302857142857143, 0.8268571428571428, 0.8285714285714286, 0.8262857142857143, 0.8294285714285714]"
0.1,0.7976571428571428,0.00437301558493935,"[0.7994285714285714, 0.7911428571428571, 0.8, 0.8031428571428572, 0.8045714285714286, 0.7942857142857143, 0.8048571428571428, 0.796, 0.8025714285714286, 0.7985714285714286, 0.7962857142857143, 0.7931428571428571, 0.7971428571428572, 0.7994285714285714, 0.7951428571428572, 0.7922857142857143, 0.796, 0.7885714285714286, 0.7991428571428572, 0.8014285714285714]"
0.15000000000000002,0.7658285714285714,0.005124889247185581,"[0.7662857142857142, 0.7582857142857143, 0.7728571428571429, 0.7677142857142857, 0.7602857142857142, 0.7728571428571429, 0.7668571428571429, 0.7705714285714286, 0.7614285714285715, 0.7574285714285715, 0.7751428571428571, 0.7608571428571429, 0.7734285714285715, 0.7654285714285715, 0.7648571428571429, 0.7685714285714286, 0.7608571428571429, 0.7617142857142857, 0.7665714285714286, 0.7645714285714286]"
0.2,0.7335571428571428,0.004207355075899096,"[0.7294285714285714, 0.7331428571428571, 0.7357142857142858, 0.7328571428571429, 0.7328571428571429, 0.7377142857142858, 0.7354285714285714, 0.7328571428571429, 0.7334285714285714, 0.7257142857142858, 0.7382857142857143, 0.7345714285714285, 0.7351428571428571, 0.7357142857142858, 0.7297142857142858, 0.7325714285714285, 0.7405714285714285, 0.7414285714285714, 0.7285714285714285, 0.7254285714285714]"
0.25,0.7007571428571429,0.006696496190134798,"[0.6974285714285714, 0.7122857142857143, 0.7117142857142857, 0.6988571428571428, 0.694, 0.6957142857142857, 0.6931428571428572, 0.7077142857142857, 0.6988571428571428, 0.6994285714285714, 0.6891428571428572, 0.7062857142857143, 0.6957142857142857, 0.7031428571428572, 0.7122857142857143, 0.6925714285714286, 0.698, 0.7025714285714286, 0.7068571428571429, 0.6994285714285714]"
0.30000000000000004,0.6667714285714286,0.005618555264950778,"[0.6697142857142857, 0.6734285714285714, 0.6582857142857143, 0.6682857142857143, 0.6751428571428572, 0.6691428571428572, 0.6602857142857143, 0.6594285714285715, 0.6671428571428571, 0.664, 0.67, 0.6711428571428572, 0.664, 0.6642857142857143, 0.656, 0.6717142857142857, 0.6614285714285715, 0.674, 0.674, 0.664]"
0.35000000000000003,0.6306285714285713,0.006488671446672043,"[0.6434285714285715, 0.6397142857142857, 0.6357142857142857, 0.628, 0.6351428571428571, 0.6222857142857143, 0.628, 0.63, 0.6325714285714286, 0.6257142857142857, 0.6382857142857142, 0.6237142857142857, 0.6214285714285714, 0.6348571428571429, 0.6202857142857143, 0.6328571428571429, 0.6328571428571429, 0.6328571428571429, 0.634, 0.6208571428571429]"
0.4,0.5906142857142856,0.006100702535656989,"[0.5951428571428572, 0.5894285714285714, 0.5814285714285714, 0.5942857142857143, 0.5957142857142858, 0.5945714285714285, 0.5874285714285714, 0.5871428571428572, 0.5882857142857143, 0.5982857142857143, 0.5962857142857143, 0.5894285714285714, 0.5894285714285714, 0.5768571428571428, 0.5988571428571429, 0.5805714285714285, 0.584, 0.5948571428571429, 0.5945714285714285, 0.5957142857142858]"
0.45,0.5532571428571429,0.006777754730268232,"[0.5702857142857143, 0.5585714285714286, 0.5417142857142857, 0.5568571428571428, 0.5554285714285714, 0.5557142857142857, 0.548, 0.5537142857142857, 0.5628571428571428, 0.55, 0.5454285714285714, 0.5574285714285714, 0.5537142857142857, 0.5505714285714286, 0.5537142857142857, 0.5517142857142857, 0.5514285714285714, 0.5394285714285715, 0.5505714285714286, 0.558]"
0.5,0.5157571428571429,0.005808702127684232,"[0.5145714285714286, 0.5091428571428571, 0.5225714285714286, 0.5117142857142857, 0.5071428571428571, 0.5148571428571429, 0.5194285714285715, 0.5077142857142857, 0.5191428571428571, 0.5231428571428571, 0.5237142857142857, 0.5285714285714286, 0.5134285714285715, 0.5162857142857142, 0.5142857142857142, 0.5205714285714286, 0.5162857142857142, 0.5102857142857142, 0.514, 0.5082857142857143]"
0.55,0.4735285714285714,0.00855439975112461,"[0.482, 0.4848571428571429, 0.462, 0.48857142857142855, 0.47314285714285714, 0.4825714285714286, 0.4717142857142857, 0.4622857142857143, 0.4697142857142857, 0.4877142857142857, 0.46714285714285714, 0.47485714285714287, 0.4762857142857143, 0.4737142857142857, 0.4657142857142857, 0.48228571428571426, 0.4605714285714286, 0.47314285714285714, 0.4685714285714286, 0.4637142857142857]"
0.6000000000000001,0.4279285714285715,0.008597994545478712,"[0.43714285714285717, 0.42628571428571427, 0.42, 0.43314285714285716, 0.4157142857142857, 0.416, 0.42857142857142855, 0.432, 0.4288571428571429, 0.4165714285714286, 0.43342857142857144, 0.42857142857142855, 0.4357142857142857, 0.42914285714285716, 0.41285714285714287, 0.42742857142857144, 0.4257142857142857, 0.4297142857142857, 0.4308571428571429, 0.45085714285714285]"
0.65,0.37889999999999996,0.007582619761598205,"[0.38171428571428573, 0.384, 0.38, 0.3657142857142857, 0.3922857142857143, 0.3782857142857143, 0.37885714285714284, 0.36428571428571427, 0.36942857142857144, 0.3742857142857143, 0.376, 0.37685714285714284, 0.38457142857142856, 0.372, 0.37914285714285717, 0.37342857142857144, 0.3914285714285714, 0.38742857142857146, 0.388, 0.3802857142857143]"
0.7000000000000001,0.3247714285714286,0.009899123853211688,"[0.3171428571428571, 0.3102857142857143, 0.31057142857142855, 0.33314285714285713, 0.3171428571428571, 0.3294285714285714, 0.32371428571428573, 0.3374285714285714, 0.3422857142857143, 0.312, 0.3365714285714286, 0.3262857142857143, 0.31657142857142856, 0.32342857142857145, 0.34, 0.3157142857142857, 0.33371428571428574, 0.32285714285714284, 0.31657142857142856, 0.33057142857142857]"
0.75,0.2732428571428572,0.010495587022114363,"[0.2705714285714286, 0.27685714285714286, 0.28514285714285714, 0.26771428571428574, 0.2562857142857143, 0.2794285714285714, 0.26971428571428574, 0.29314285714285715, 0.2562857142857143, 0.26971428571428574, 0.26371428571428573, 0.288, 0.2874285714285714, 0.264, 0.2834285714285714, 0.262, 0.276, 0.2634285714285714, 0.28, 0.272]"
0.8,0.21230000000000002,0.012249939608347594,"[0.19514285714285715, 0.21742857142857142, 0.21085714285714285, 0.21257142857142858, 0.222, 0.226, 0.21142857142857144, 0.212, 0.198, 0.22257142857142856, 0.216, 0.24085714285714285, 0.21285714285714286, 0.19085714285714286, 0.20142857142857143, 0.19428571428571428, 0.21114285714285713, 0.22171428571428572, 0.20314285714285715, 0.2257142857142857]"
0.8500000000000001,0.1481142857142857,0.0064525900510839,"[0.15571428571428572, 0.1442857142857143, 0.1482857142857143, 0.15171428571428572, 0.14057142857142857, 0.14457142857142857, 0.14485714285714285, 0.14457142857142857, 0.15542857142857142, 0.14857142857142858, 0.13314285714285715, 0.15685714285714286, 0.15, 0.14771428571428571, 0.15085714285714286, 0.16028571428571428, 0.14085714285714285, 0.142, 0.14685714285714285, 0.15514285714285714]"
