removal_fraction,mean_lcc_size,std_lcc_size,lcc_sizes,attack_type
0.0,0.9996,0.0,[0.9996],betweenness
0.05,0.9636,0.0,[0.9636],betweenness
0.1,0.9216,0.0,[0.9216],betweenness
0.15000000000000002,0.8628,0.0,[0.8628],betweenness
0.2,0.8028,0.0,[0.8028],betweenness
0.25,0.7516,0.0,[0.7516],betweenness
0.30000000000000004,0.6836,0.0,[0.6836],betweenness
0.35000000000000003,0.6372,0.0,[0.6372],betweenness
0.4,0.572,0.0,[0.572],betweenness
0.45,0.5068,0.0,[0.5068],betweenness
0.5,0.4416,0.0,[0.4416],betweenness
0.55,0.3764,0.0,[0.3764],betweenness
0.6000000000000001,0.324,0.0,[0.324],betweenness
0.65,0.2736,0.0,[0.2736],betweenness
0.7000000000000001,0.2524,0.0,[0.2524],betweenness
0.75,0.2384,0.0,[0.2384],betweenness
0.8,0.1828,0.0,[0.1828],betweenness
0.8500000000000001,0.1036,0.0,[0.1036],betweenness
0.9,0.0308,0.0,[0.0308],betweenness
0.9500000000000001,0.004,0.0,[0.004],betweenness
1.0,0.0004,0.0,[0.0004],betweenness
