removal_fraction,mean_lcc_size,std_lcc_size,lcc_sizes,attack_type
0.0,0.9996,0.0,[0.9996],degree
0.05,0.9784,0.0,[0.9784],degree
0.1,0.936,0.0,[0.936],degree
0.15000000000000002,0.8756,0.0,[0.8756],degree
0.2,0.8404,0.0,[0.8404],degree
0.25,0.796,0.0,[0.796],degree
0.30000000000000004,0.7388,0.0,[0.7388],degree
0.35000000000000003,0.6988,0.0,[0.6988],degree
0.4,0.6408,0.0,[0.6408],degree
0.45,0.5736,0.0,[0.5736],degree
0.5,0.5152,0.0,[0.5152],degree
0.55,0.4516,0.0,[0.4516],degree
0.6000000000000001,0.3848,0.0,[0.3848],degree
0.65,0.2984,0.0,[0.2984],degree
0.7000000000000001,0.1752,0.0,[0.1752],degree
0.75,0.0272,0.0,[0.0272],degree
0.8,0.016,0.0,[0.016],degree
0.8500000000000001,0.0044,0.0,[0.0044],degree
0.9,0.0032,0.0,[0.0032],degree
0.9500000000000001,0.0016,0.0,[0.0016],degree
1.0,0.0004,0.0,[0.0004],degree
