removal_probability,mean_lcc_size,std_lcc_size,lcc_sizes
0.0,0.9996000000000003,2.220446049250313e-16,"[0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996, 0.9996]"
0.05,0.95856,0.004406177481672744,"[0.958, 0.9504, 0.9544, 0.9596, 0.9588, 0.9624, 0.9632, 0.9608, 0.9624, 0.9516, 0.9644, 0.9532, 0.96, 0.9532, 0.9612, 0.9636, 0.9624, 0.9516, 0.9616, 0.9584]"
0.1,0.9109400000000001,0.008041169069233646,"[0.9208, 0.9148, 0.9088, 0.9196, 0.9164, 0.9112, 0.916, 0.9044, 0.9164, 0.892, 0.9124, 0.9244, 0.9, 0.916, 0.9104, 0.9044, 0.9172, 0.8972, 0.908, 0.9084]"
0.15000000000000002,0.8681000000000001,0.006707458535093583,"[0.8656, 0.8764, 0.8708, 0.872, 0.8624, 0.8696, 0.8712, 0.8596, 0.8728, 0.8584, 0.882, 0.866, 0.8712, 0.8648, 0.8708, 0.8732, 0.8564, 0.8556, 0.8712, 0.872]"
0.2,0.82514,0.007965199306985353,"[0.8172, 0.8232, 0.816, 0.8072, 0.8308, 0.8328, 0.8172, 0.8308, 0.824, 0.8228, 0.8252, 0.8204, 0.8308, 0.8252, 0.8424, 0.8276, 0.8192, 0.8396, 0.8244, 0.826]"
0.25,0.77674,0.009325470497513786,"[0.7636, 0.7868, 0.7792, 0.7896, 0.7816, 0.7876, 0.7672, 0.776, 0.7624, 0.7692, 0.7896, 0.782, 0.7684, 0.7696, 0.7816, 0.7732, 0.7876, 0.7596, 0.7772, 0.7828]"
0.30000000000000004,0.72892,0.00946919215139284,"[0.7184, 0.734, 0.7312, 0.7276, 0.7192, 0.7384, 0.7308, 0.7176, 0.7432, 0.7136, 0.7344, 0.7352, 0.7188, 0.7272, 0.7412, 0.716, 0.736, 0.7268, 0.7464, 0.7224]"
0.35000000000000003,0.6789599999999999,0.011355632963423928,"[0.652, 0.6952, 0.674, 0.6984, 0.6776, 0.6764, 0.6904, 0.6792, 0.668, 0.6872, 0.6864, 0.672, 0.6876, 0.6892, 0.682, 0.6656, 0.6696, 0.674, 0.6656, 0.6888]"
0.4,0.6273,0.013335591475446445,"[0.6344, 0.6228, 0.6128, 0.6112, 0.6172, 0.6144, 0.6416, 0.6256, 0.6016, 0.6524, 0.624, 0.6304, 0.6424, 0.646, 0.634, 0.64, 0.614, 0.6176, 0.6236, 0.64]"
0.45,0.57526,0.011367515119849196,"[0.5588, 0.5684, 0.582, 0.5764, 0.5964, 0.5916, 0.5452, 0.5836, 0.572, 0.5716, 0.5808, 0.574, 0.5664, 0.5836, 0.5604, 0.5748, 0.5776, 0.5784, 0.584, 0.5792]"
0.5,0.52094,0.01198550791581233,"[0.5288, 0.4964, 0.534, 0.5152, 0.5204, 0.5144, 0.524, 0.5408, 0.5076, 0.5172, 0.524, 0.5152, 0.5232, 0.5264, 0.522, 0.5292, 0.55, 0.5124, 0.5068, 0.5108]"
0.55,0.47008,0.011646527379438044,"[0.4552, 0.4648, 0.47, 0.4812, 0.478, 0.4584, 0.4704, 0.4812, 0.476, 0.4568, 0.484, 0.4464, 0.4868, 0.4628, 0.4656, 0.4552, 0.4776, 0.474, 0.4672, 0.49]"
