removal_probability,lcc_size,mean_lcc_size
0.0,0.9536,0.9536
0.01,0.9488,0.9488
0.02,0.9472,0.9472
0.03,0.9436,0.9436
0.04,0.942,0.942
0.05,0.9364,0.9364
0.06,0.9332,0.9332
0.07,0.9236,0.9236
0.08,0.9116,0.9116
0.09,0.9008,0.9008
0.1,0.8892,0.8892
0.11,0.8784,0.8784
0.12,0.8664,0.8664
0.13,0.8548,0.8548
0.14,0.8372,0.8372
0.15,0.8372,0.8372
0.16,0.8328,0.8328
0.17,0.8248,0.8248
0.18,0.8196,0.8196
0.19,0.8088,0.8088
0.2,0.7968,0.7968
0.21,0.784,0.784
0.22,0.77,0.77
0.23,0.7684,0.7684
0.24,0.7636,0.7636
0.25,0.758,0.758
0.26,0.7476,0.7476
0.27,0.7364,0.7364
0.28,0.7104,0.7104
0.29,0.7104,0.7104
0.3,0.7068,0.7068
0.31,0.7024,0.7024
0.32,0.6416,0.6416
0.33,0.6416,0.6416
0.34,0.6416,0.6416
0.35000000000000003,0.6416,0.6416
0.36,0.6416,0.6416
0.37,0.6356,0.6356
0.38,0.6304,0.6304
0.39,0.6196,0.6196
0.4,0.5832,0.5832
0.41000000000000003,0.5832,0.5832
0.42,0.5832,0.5832
0.43,0.5744,0.5744
0.44,0.5572,0.5572
0.45,0.5372,0.5372
0.46,0.5372,0.5372
0.47000000000000003,0.53,0.53
0.48,0.5148,0.5148
0.49,0.5084,0.5084
0.5,0.4892,0.4892
0.51,0.4804,0.4804
0.52,0.47,0.47
0.53,0.466,0.466
0.54,0.4512,0.4512
0.55,0.4304,0.4304
0.56,0.42,0.42
0.5700000000000001,0.41,0.41
0.58,0.3848,0.3848
0.59,0.3652,0.3652
0.6,0.3476,0.3476
0.61,0.3352,0.3352
0.62,0.3048,0.3048
0.63,0.2976,0.2976
0.64,0.2316,0.2316
0.65,0.1916,0.1916
0.66,0.1048,0.1048
0.67,0.0912,0.0912
0.68,0.054,0.054
0.6900000000000001,0.0448,0.0448
0.7000000000000001,0.0392,0.0392
0.71,0.0288,0.0288
0.72,0.0288,0.0288
0.73,0.0272,0.0272
0.74,0.0164,0.0164
0.75,0.0152,0.0152
0.76,0.0136,0.0136
0.77,0.0108,0.0108
0.78,0.0092,0.0092
0.79,0.0084,0.0084
0.8,0.0072,0.0072
0.81,0.006,0.006
0.8200000000000001,0.006,0.006
0.8300000000000001,0.004,0.004
0.84,0.004,0.004
0.85,0.004,0.004
0.86,0.004,0.004
0.87,0.0028,0.0028
0.88,0.0028,0.0028
0.89,0.0028,0.0028
0.9,0.0028,0.0028
0.91,0.0028,0.0028
0.92,0.0028,0.0028
0.93,0.0028,0.0028
0.9400000000000001,0.0028,0.0028
0.9500000000000001,0.0028,0.0028
0.96,0.0028,0.0028
0.97,0.0028,0.0028
0.98,0.0016,0.0016
0.99,0.0008,0.0008
1.0,0.0004,0.0004
