removal_fraction,mean_lcc_size,std_lcc_size,lcc_sizes,attack_type
0.0,0.7645714285714286,0.0,[0.7645714285714286],betweenness
0.05,0.7605714285714286,0.0,[0.7605714285714286],betweenness
0.1,0.752,0.0,[0.752],betweenness
0.15000000000000002,0.7442857142857143,0.0,[0.7442857142857143],betweenness
0.2,0.7025714285714286,0.0,[0.7025714285714286],betweenness
0.25,0.662,0.0,[0.662],betweenness
0.30000000000000004,0.6025714285714285,0.0,[0.6025714285714285],betweenness
0.35000000000000003,0.5514285714285714,0.0,[0.5514285714285714],betweenness
0.4,0.49857142857142855,0.0,[0.49857142857142855],betweenness
0.45,0.4554285714285714,0.0,[0.4554285714285714],betweenness
0.5,0.4142857142857143,0.0,[0.4142857142857143],betweenness
0.55,0.3717142857142857,0.0,[0.3717142857142857],betweenness
0.6000000000000001,0.3314285714285714,0.0,[0.3314285714285714],betweenness
0.65,0.2914285714285714,0.0,[0.2914285714285714],betweenness
0.7000000000000001,0.25142857142857145,0.0,[0.25142857142857145],betweenness
0.75,0.20885714285714285,0.0,[0.20885714285714285],betweenness
0.8,0.156,0.0,[0.156],betweenness
0.8500000000000001,0.12485714285714286,0.0,[0.12485714285714286],betweenness
0.9,0.055142857142857146,0.0,[0.055142857142857146],betweenness
0.9500000000000001,0.004857142857142857,0.0,[0.004857142857142857],betweenness
1.0,0.00028571428571428574,0.0,[0.00028571428571428574],betweenness
