removal_fraction,mean_lcc_size,std_lcc_size,lcc_sizes,attack_type
0.0,0.7645714285714286,0.0,[0.7645714285714286],degree
0.05,0.7122857142857143,0.0,[0.7122857142857143],degree
0.1,0.684,0.0,[0.684],degree
0.15000000000000002,0.6565714285714286,0.0,[0.6565714285714286],degree
0.2,0.6325714285714286,0.0,[0.6325714285714286],degree
0.25,0.6031428571428571,0.0,[0.6031428571428571],degree
0.30000000000000004,0.5637142857142857,0.0,[0.5637142857142857],degree
0.35000000000000003,0.5274285714285715,0.0,[0.5274285714285715],degree
0.4,0.4977142857142857,0.0,[0.4977142857142857],degree
0.45,0.46,0.0,[0.46],degree
0.5,0.42028571428571426,0.0,[0.42028571428571426],degree
0.55,0.38,0.0,[0.38],degree
0.6000000000000001,0.334,0.0,[0.334],degree
0.65,0.2774285714285714,0.0,[0.2774285714285714],degree
0.7000000000000001,0.21371428571428572,0.0,[0.21371428571428572],degree
0.75,0.048,0.0,[0.048],degree
0.8,0.007714285714285714,0.0,[0.007714285714285714],degree
0.8500000000000001,0.004,0.0,[0.004],degree
0.9,0.002285714285714286,0.0,[0.002285714285714286],degree
0.9500000000000001,0.0014285714285714286,0.0,[0.0014285714285714286],degree
1.0,0.00028571428571428574,0.0,[0.00028571428571428574],degree
